"","iso_code","country","year","co2","consumption_co2","co2_growth_prct","co2_growth_abs","trade_co2","co2_per_capita","consumption_co2_per_capita","share_global_co2","cumulative_co2","share_global_cumulative_co2","co2_per_gdp","consumption_co2_per_gdp","co2_per_unit_energy","coal_co2","cement_co2","flaring_co2","gas_co2","oil_co2","other_industry_co2","cement_co2_per_capita","coal_co2_per_capita","flaring_co2_per_capita","gas_co2_per_capita","oil_co2_per_capita","other_co2_per_capita","trade_co2_share","share_global_cement_co2","share_global_coal_co2","share_global_flaring_co2","share_global_gas_co2","share_global_oil_co2","share_global_other_co2","cumulative_cement_co2","cumulative_coal_co2","cumulative_flaring_co2","cumulative_gas_co2","cumulative_oil_co2","cumulative_other_co2","share_global_cumulative_cement_co2","share_global_cumulative_coal_co2","share_global_cumulative_flaring_co2","share_global_cumulative_gas_co2","share_global_cumulative_oil_co2","share_global_cumulative_other_co2","total_ghg","ghg_per_capita","methane","methane_per_capita","nitrous_oxide","nitrous_oxide_per_capita","population","gdp","primary_energy_consumption","energy_per_capita","energy_per_gdp","Region","Subregion","Notes","Country code","Type","Parent code","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"1","AFG","Afghanistan",2019,10.72,NA,2.56,0.268,NA,0.282,NA,0.03,181.376,0.01,NA,NA,NA,6.993,0.045,NA,0.27,3.412,NA,0.001,0.184,NA,0.007,0.09,NA,NA,0,0.05,NA,0,0.03,NA,2.444,55.418,NA,19.804,97.754,NA,0.01,0.01,NA,0.01,0.02,NA,NA,NA,NA,NA,NA,NA,38041757,NA,NA,NA,NA,"Asia","CENTRAL AND SOUTHERN ASIA",NA,4,"Country/Area",5501,7752.117,7840.151,7935.996,8039.684,8151.316,8270.992,8398.873,8535.157,8680.097,8833.947,8996.967,9169.406,9351.442,9543.2,9744.772,9956.318,10174.84,10399.936,10637.064,10893.772,11173.654,11475.45,11791.222,12108.963,12412.96,12689.164,12943.093,13171.294,13341.199,13411.06,13356.5,13171.679,12882.518,12537.732,12204.306,11938.204,11736.177,11604.538,11618.008,11868.873,12412.311,13299.016,14485.543,15816.601,17075.728,18110.662,18853.444,19357.126,19737.77,20170.847,20779.957,21606.992,22600.774,23680.871,24726.689,25654.274,26433.058,27100.542,27722.281,28394.806,29185.511,30117.411,31161.378,32269.592,33370.804,34413.603,35383.028,36296.111,37171.922,38041.757,38928.341
"2","ALB","Albania",2019,5.579,NA,3.26,0.176,NA,1.936,NA,0.02,282.495,0.02,NA,NA,NA,0.567,0.78,NA,0.086,4.146,NA,0.271,0.197,NA,0.03,1.439,NA,NA,0.05,0,NA,0,0.03,NA,18.704,66.698,NA,16.23,180.863,NA,0.04,0.01,NA,0.01,0.03,NA,NA,NA,NA,NA,NA,NA,2880913,NA,NA,NA,NA,"Europe","EUROPE",NA,8,"Country/Area",925,1263.164,1287.499,1316.09,1348.113,1382.898,1419.991,1459.115,1500.18,1543.256,1588.506,1636.091,1685.926,1737.675,1790.571,1843.649,1896.175,1947.836,1998.743,2049.214,2099.738,2150.704,2202.186,2254.058,2306.284,2358.852,2411.733,2464.981,2518.685,2572.852,2627.506,2682.697,2737.018,2790.284,2844.867,2904.142,2969.671,3044.201,3124.892,3200.972,3257.913,3286.07,3280.397,3245.887,3195.196,3146.518,3112.923,3098.699,3099.747,3110.699,3122.7,3129.246,3129.701,3126.183,3118.017,3104.893,3086.81,3063.021,3033.993,3002.683,2973.044,2948.029,2928.601,2914.091,2903.788,2896.307,2890.524,2886.427,2884.169,2882.735,2880.913,2877.8
"3","DZA","Algeria",2019,171.707,NA,4.5,7.398,NA,3.988,NA,0.47,4445.486,0.27,NA,NA,0.244,2.184,9.156,5.771,94.404,60.192,NA,0.213,0.051,0.134,2.193,1.398,NA,NA,0.59,0.02,1.34,1.24,0.49,NA,215.375,117.298,583.412,1979.282,1550.119,NA,0.52,0.02,3.42,0.83,0.27,NA,NA,NA,NA,NA,NA,NA,43053054,NA,705.04,16376.102,NA,"Africa","NORTHERN AFRICA AND WESTERN ASIA",NA,12,"Country/Area",912,8872.25,9023.263,9186.15,9364.381,9560.147,9774.28,10006.145,10253.777,10514.077,10783.228,11057.864,11336.336,11619.828,11912.8,12221.675,12550.88,12902.626,13275.02,13663.581,14061.724,14464.992,14872.253,15285.992,15709.831,16149.018,16607.706,17085.799,17582.899,18102.266,18647.801,19221.659,19824.297,20452.901,21101.875,21763.578,22431.507,23102.386,23774.287,24443.472,25106.192,25758.872,26400.468,27028.33,27635.517,28213.777,28757.788,29266.415,29742.98,30192.75,30623.406,31042.238,31451.513,31855.11,32264.159,32692.153,33149.72,33641.007,34166.976,34730.604,35333.882,35977.451,36661.438,37383.899,38140.135,38923.688,39728.02,40551.398,41389.174,42228.415,43053.054,43851.043
"4","AND","Andorra",2019,0.47,NA,1.35,0.006,NA,6.099,NA,0,14.543,0,NA,NA,NA,NA,NA,NA,NA,0.47,NA,NA,NA,NA,NA,6.099,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,14.543,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,77146,NA,NA,NA,NA,"Europe","EUROPE",NA,20,"Country/Area",925,6.198,6.693,7.251,7.859,8.533,9.231,9.984,10.778,11.614,12.495,13.41,14.378,15.379,16.407,17.466,18.542,19.646,20.76,21.886,23.053,24.275,25.571,26.885,28.232,29.515,30.705,31.782,32.769,33.744,34.825,36.063,37.498,39.115,40.854,42.706,44.593,46.52,48.459,50.433,52.452,54.508,56.666,58.882,60.974,62.676,63.86,64.363,64.318,64.14,64.368,65.39,67.344,70.048,73.18,76.25,78.871,80.995,82.682,83.86,84.461,84.454,83.748,82.427,80.77,79.213,77.993,77.295,76.997,77.008,77.146,77.265
"5","AGO","Angola",2019,38.02,NA,0.91,0.342,NA,1.195,NA,0.1,710.967,0.04,NA,NA,NA,NA,1.937,13.835,1.384,20.863,NA,0.061,NA,0.435,0.044,0.656,NA,NA,0.12,NA,3.22,0.02,0.17,NA,26.912,NA,292.598,39.497,350.359,NA,0.06,NA,1.71,0.02,0.06,NA,NA,NA,NA,NA,NA,NA,31825299,NA,NA,NA,NA,"Africa","SUB-SAHARAN AFRICA",NA,24,"Country/Area",911,4548.021,4616.552,4713.16,4823.33,4935.956,5043.251,5140.91,5228.005,5306.538,5380.718,5454.938,5531.451,5608.499,5679.409,5734.995,5770.573,5781.305,5774.44,5771.973,5803.677,5890.36,6041.239,6248.965,6497.283,6761.623,7023.994,7279.63,7533.814,7790.774,8058.112,8341.29,8640.478,8952.971,9278.104,9614.756,9961.993,10320.116,10689.247,11068.051,11454.784,11848.385,12248.901,12657.361,13075.044,13503.753,13945.205,14400.722,14871.572,15359.6,15866.871,16395.477,16945.753,17519.418,18121.477,18758.138,19433.604,20149.905,20905.36,21695.636,22514.275,23356.247,24220.66,25107.925,26015.786,26941.773,27884.38,28842.482,29816.769,30809.787,31825.299,32866.268
"6","AIA","Anguilla",2019,0.143,NA,-2.62,-0.004,NA,9.635,NA,0,3.306,0,NA,NA,NA,NA,NA,NA,NA,0.143,NA,NA,NA,NA,NA,9.635,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,3.306,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,14872,NA,NA,NA,NA,"Latin America and the Caribbean","LATIN AMERICA AND THE CARIBBEAN",14,660,"Country/Area",915,5.122,5.317,5.477,5.598,5.705,5.781,5.846,5.901,5.939,5.987,6.02,6.09,6.141,6.207,6.283,6.36,6.434,6.52,6.608,6.69,6.773,6.854,6.949,7.023,7.101,7.161,7.202,7.252,7.285,7.296,7.284,7.249,7.194,7.145,7.182,7.292,7.512,7.842,8.222,8.582,8.894,9.138,9.333,9.491,9.661,9.868,10.117,10.388,10.684,10.979,11.247,11.52,11.756,11.993,12.23,12.442,12.66,12.862,13.056,13.248,13.436,13.612,13.794,13.952,14.114,14.279,14.435,14.588,14.738,14.872,15.002
"7","ATG","Antigua and Barbuda",2019,0.492,NA,-2.62,-0.013,NA,5.07,NA,0,21.11,0,NA,NA,NA,NA,NA,NA,NA,0.492,NA,NA,NA,NA,NA,5.07,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,21.11,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,97115,NA,NA,NA,NA,"Latin America and the Caribbean","LATIN AMERICA AND THE CARIBBEAN",NA,28,"Country/Area",915,45.515,46.541,47.385,48.135,48.876,49.648,50.464,51.36,52.28,53.214,54.132,55.005,55.849,56.701,57.641,58.699,59.912,61.24,62.523,63.553,64.184,64.354,64.134,63.649,63.108,62.671,62.353,62.162,62.038,61.948,61.861,61.789,61.78,61.779,61.784,61.785,61.754,61.713,61.758,62.007,62.533,63.363,64.459,65.777,67.201,68.672,70.176,71.707,73.219,74.674,76.007,77.212,78.298,79.311,80.347,81.462,82.715,84.029,85.394,86.743,88.03,89.25,90.407,91.51,92.562,93.571,94.52,95.425,96.282,97.115,97.928
"8","ARG","Argentina",2019,178.94,NA,-3.29,-6.09,NA,3.996,NA,0.49,8289.132,0.5,NA,NA,0.186,2.169,4.029,1.806,94.828,76.108,NA,0.09,0.048,0.04,2.118,1.7,NA,NA,0.26,0.02,0.42,1.25,0.62,NA,192.612,534.541,182.552,2786.265,4593.163,NA,0.46,0.07,1.07,1.17,0.79,NA,NA,NA,NA,NA,NA,NA,44780675,NA,961.881,21479.671,NA,"Latin America and the Caribbean","LATIN AMERICA AND THE CARIBBEAN",NA,32,"Country/Area",931,17037.91,17390.378,17742.98,18094.29,18443.313,18789.415,19132.405,19472.473,19810.165,20146.307,20481.781,20817.27,21153.042,21488.916,21824.427,22159.644,22494.031,22828.872,23168.268,23517.613,23880.564,24259.564,24653.172,25056.475,25462.305,25865.775,26264.681,26661.397,27061.041,27471.046,27896.532,28338.514,28794.55,29262.049,29737.097,30216.284,30698.964,31184.411,31668.939,32148.137,32618.648,33079.002,33529.32,33970.103,34402.669,34828.168,35246.376,35657.438,36063.451,36467.218,36870.796,37275.644,37681.743,38087.866,38491.97,38892.924,39289.876,39684.303,40080.159,40482.786,40895.751,41320.497,41755.188,42196.034,42637.508,43075.416,43508.459,43937.143,44361.15,44780.675,45195.777
"9","ARM","Armenia",2019,6.006,NA,-4.62,-0.291,NA,2.031,NA,0.02,686.808,0.04,NA,NA,NA,0.005,0.154,NA,4.865,0.982,NA,0.052,0.002,NA,1.645,0.332,NA,NA,0.01,0,NA,0.06,0.01,NA,15.078,55.583,NA,220.314,393.691,NA,0.04,0.01,NA,0.09,0.07,NA,NA,NA,NA,NA,NA,NA,2957728,NA,NA,NA,NA,"Asia","NORTHERN AFRICA AND WESTERN ASIA",NA,51,"Country/Area",922,1353.502,1381.87,1418.275,1461.425,1510.178,1563.512,1620.594,1680.713,1743.306,1807.908,1874.119,1941.498,2009.524,2077.584,2145.004,2211.316,2276.038,2339.133,2401.142,2462.938,2525.067,2587.716,2650.484,2712.78,2773.75,2832.752,2889.583,2944.375,2997.419,3049.107,3099.759,3148.096,3193.696,3238.592,3285.593,3335.935,3392.264,3451.947,3504.667,3536.473,3538.164,3505.249,3442.82,3363.111,3283.664,3217.349,3168.213,3133.081,3108.691,3089.02,3069.597,3050.686,3033.976,3017.938,3000.715,2981.262,2958.301,2932.615,2907.615,2888.094,2877.314,2876.536,2884.239,2897.593,2912.403,2925.559,2936.147,2944.789,2951.741,2957.728,2963.234
"10","ABW","Aruba",2019,0.919,NA,-2.62,-0.025,NA,8.64,NA,0,75.332,0,NA,NA,NA,NA,NA,NA,NA,0.919,NA,NA,NA,NA,NA,8.64,NA,NA,NA,NA,NA,NA,0.01,NA,NA,NA,NA,NA,75.332,NA,NA,NA,NA,NA,0.01,NA,NA,NA,NA,NA,NA,NA,106310,NA,NA,NA,NA,"Latin America and the Caribbean","LATIN AMERICA AND THE CARIBBEAN",15,533,"Country/Area",915,38.052,38.268,38.962,40.151,41.761,43.721,45.932,48.239,50.5,52.532,54.208,55.434,56.234,56.699,57.029,57.357,57.702,58.044,58.377,58.734,59.07,59.442,59.849,60.236,60.527,60.653,60.586,60.366,60.102,59.972,60.097,60.561,61.341,62.213,62.826,63.024,62.645,61.838,61.072,61.033,62.152,64.623,68.24,72.495,76.705,80.324,83.211,85.45,87.28,89.009,90.866,92.892,94.992,97.016,98.744,100.028,100.83,101.226,101.362,101.452,101.665,102.05,102.565,103.165,103.776,104.339,104.865,105.361,105.846,106.31,106.766
